Make,Model,Year,Color,Condition,Mileage,Transmission,Price
Mercedes-Benz,C180,2005,Silver,Nigerian Used,2000,Automatic,"1,785,000"
Land Rover,Range Rover Sport,2010,HSE 4x4 (5.0L 8cyl 6A),Red,Nigerian Used,Automatic,"8,112,000"
Mercedes-Benz,M Class,2008,Gray,Nigerian Used,125899,Automatic,"5,200,000"
Lexus,RX 330,2004,Green,Nigerian Used,202554,Automatic,"3,675,000"
Toyota,RAV4,2005,Green,Nigerian Used,129141,Automatic,"3,016,000"
Acura,MDX,2008,Beige,Nigerian Used,136207,Automatic,"4,160,000"
Toyota,Highlander,2006,Green,Nigerian Used,180078,Automatic,"3,360,000"
Suzuki,Sx4,2007,White,Nigerian Used,197739,Automatic,"2,100,000"
Mercedes-Benz,GLK-Class,2010,Gray,Nigerian Used,252544,Automatic,"7,280,000"
Mercedes-Benz,GL-Class,2008,GL 550,Black,Nigerian Used,Automatic,"8,320,000"
Toyota,Camry,2005,Gray,Nigerian Used,470686,Automatic,"1,890,000"
Toyota,Sienna,2016,Black,Nigerian Used,228761,Automatic,"6,825,000"
Land Rover,Range Rover,2008,Black,Nigerian Used,242957,Automatic,"2,992,500"
Mazda,CX-9,2010,White,Nigerian Used,286658,Automatic,"3,990,000"
Honda,Pilot,2007,Red,Nigerian Used,222790,Automatic,"3,120,000"
Honda,Pilot,2007,Black,Nigerian Used,206660,Automatic,"2,704,000"
Ford,F-150,2009,SuperCab 4x4,Black,Nigerian Used,Automatic,"7,035,000"
Hyundai,Sonata,2012,Black,Nigerian Used,147475,Automatic,"3,848,000"
Honda,Accord,2008,Blue,Nigerian Used,160631,Automatic,"1,995,000"
Volvo,V40,1996,Purple,Nigerian Used,268332,Manual,"1,680,000"
Nissan,Sentra,2019,Gray,Foreign Used,48899,Automatic,"5,775,000"
Honda,Pilot,2006,Black,Nigerian Used,196722,Automatic,"2,496,000"
Nissan,Almera,2004,Blue,Nigerian Used,181439,Manual,"1,575,000"
Lexus,GS,2001,Gold,Nigerian Used,299085,Automatic,"2,415,000"
Toyota,Avensis,2005,Gray,Nigerian Used,194743,Automatic,"1,365,000"
Mercedes-Benz,M Class,2011,ML 350 4Matic,White,Foreign Used,Automatic,"13,520,000"
Toyota,Camry,2010,Gray,Nigerian Used,321858,Automatic,"3,171,000"
Honda,Pilot,2009,Beige,Nigerian Used,107165,Automatic,"3,465,000"
Lexus,GX,2011,Black,Foreign Used,105484,Automatic,"20,800,000"
Honda,Civic,2004,Blue,Nigerian Used,299012,Manual,"1,417,500"
Lexus,ES,2007,Gray,Nigerian Used,81905,Automatic,"4,680,000"
Toyota,Sienna,2006,Blue,Nigerian Used,116972,Automatic,"2,520,000"
Lincoln,Navigator,2005,White,Nigerian Used,121222,Automatic,"2,425,500"
Peugeot,307,2007,Black,Foreign Used,110333,Automatic,"3,307,500"
Toyota,Highlander,2005,Red,Nigerian Used,104826,Automatic,"2,625,000"
Mercedes-Benz,E350,2007,White,Foreign Used,283018,Automatic,"3,990,000"
Nissan,Rogue,2012,Red,Foreign Used,304274,Automatic,"4,725,000"
Honda,Accord,1999,Green,Nigerian Used,398342,Automatic,"735,000"
Toyota,4-Runner,2005,Black,Nigerian Used,162506,Automatic,"3,224,000"
Kia,Sportage,2009,Black,Nigerian Used,173881,Automatic,"2,362,500"
Toyota,Sienna,2003,Green,Nigerian Used,135149,Automatic,"1,680,000"
Lexus,RX 330,2004,Black,Foreign Used,333590,Automatic,"7,280,000"
Mitsubishi,Eclipse Cross,2020,1.5 AWD,Blue,Nigerian Used,Automatic,"18,900,000"
Toyota,Camry,1999,Automatic,Gold,Nigerian Used,Automatic,"1,050,000"
Peugeot,408,2014,Gray,Nigerian Used,105024,Automatic,"2,625,000"
Lexus,ES,2005,330,Blue,Nigerian Used,Automatic,"4,420,000"
Kia,Forte,2012,EX Sedan,Gray,Foreign Used,Automatic,"3,780,000"
Nissan,Murano,2013,Gray,Foreign Used,139858,CVT,"5,460,000"
Toyota,Corolla,2011,Black,Nigerian Used,183618,Manual,"3,570,000"
Brand New,No faults,GAC,GS8,2023,Silver,Automatic,"42,750,000"
Honda,Civic,2012,Gray,Foreign Used,132977,Automatic,"3,885,000"
Mercedes-Benz,C240,2001,Silver,Nigerian Used,2600,Automatic,"1,470,000"
Cadillac,Escalade,2007,Gold,Foreign Used,220494,Automatic,"7,402,500"
Mazda,CX-9,2008,Sport AWD,White,Nigerian Used,Automatic,"2,310,000"
Honda,Accord,1996,Red,Nigerian Used,466333,Manual,"682,500"
Hyundai,Veracruz,2008,Silver,Nigerian Used,163295,Automatic,"3,255,000"
Lexus,RX 330,2004,Silver,Nigerian Used,175046,Automatic,"5,200,000"
Toyota,4-Runner,2004,Limited,White,Nigerian Used,Automatic,"3,640,000"
Toyota,Highlander,2013,3.5L 2WD,White,Foreign Used,Automatic,"11,550,000"
Toyota,4-Runner,2008,Black,Nigerian Used,135908,Automatic,"2,735,000"
Volvo,XC90,2007,Gray,Foreign Used,361452,Automatic,"3,990,000"
Mercedes-Benz,GL-Class,2007,GL 450,Black,Nigerian Used,Automatic,"4,239,375"
Toyota,RAV4,2011,Gray,Nigerian Used,106869,Automatic,"5,512,000"
Toyota,Sequoia,2011,Black,Nigerian Used,139867,Automatic,"7,560,000"
Jeep,Cherokee,2006,Silver,Nigerian Used,148279,Automatic,"3,255,000"
Mercedes-Benz,G-Class,2013,White,Nigerian Used,259362,Automatic,"19,740,000"
Toyota,Camry,2007,Black,Nigerian Used,202212,Automatic,"3,536,000"
Toyota,Corolla,2007,Blue,Nigerian Used,331432,Automatic,"3,432,000"
Lexus,RX,2004,Black,Nigerian Used,283445,Automatic,"4,680,000"
Nissan,Pathfinder,2002,Silver,Nigerian Used,180493,Automatic,"1,664,000"
Toyota,Venza,2009,Red,Nigerian Used,195327,Automatic,"7,280,000"
Hyundai,Tucson,2009,Silver,Nigerian Used,214212,Automatic,"1,995,000"
Honda,City,2008,Gold,Nigerian Used,155238,Automatic,"1,286,250"
Toyota,Tacoma,2006,Regular Cab,Blue,Nigerian Used,Automatic,"6,344,000"
Peugeot,406,2008,Blue,Nigerian Used,2000,Manual,"1,575,000"
Toyota,Tundra,2006,Green,Nigerian Used,286486,Automatic,"3,675,000"
Mercedes-Benz,M Class,2008,Off white,Nigerian Used,334173,Automatic,"6,760,000"
Lexus,LX,1999,Gray,Nigerian Used,192170,Automatic,"4,725,000"
Toyota,Corolla,2003,Silver,Nigerian Used,281345,Automatic,"1,890,000"
Lexus,GS,2008,Silver,Nigerian Used,194762,Automatic,"5,200,000"
Peugeot,406,2004,Break 2.2 HDi,Gray,Nigerian Used,Manual,"1,664,000"
Honda,Accord,2007,Black,Nigerian Used,100028,Automatic,"2,288,000"
Toyota,Sienna,2000,LE & 1 hatch,Brown,Foreign Used,Automatic,"3,045,000"
Volvo,S40,2009,T5 AWD,White,Nigerian Used,Automatic,"1,890,000"
Nissan,NP300,2014,White,Nigerian Used,219216,Manual,"4,095,000"
Kia,Sorento,2008,Gray,Nigerian Used,284127,Automatic,"1,680,000"
Toyota,Land Cruiser,2010,Black,Nigerian Used,130858,Automatic,"15,120,000"
Toyota,Camry,2007,LE 4dr Sedan (2.4L 4cyl 5A),Black,Nigerian Used,Automatic,"3,328,000"
Toyota,Corolla,2004,Silver,Nigerian Used,235224,Automatic,"2,257,500"
Toyota,Sienna,2011,Red,Foreign Used,197845,Automatic,"6,825,000"
Volvo,XC90,2005,Black,Foreign Used,141174,Automatic,"3,895,500"
Toyota,Highlander,2009,Black,Nigerian Used,130729,Automatic,"7,280,000"
Nissan,Sentra,2007,White,Nigerian Used,39248,Automatic,"1,155,000"
Opel,Zafira,2003,Red,Foreign Used,197005,Manual,"2,205,000"
Toyota,Camry,2003,Black,Nigerian Used,212240,Automatic,"1,837,500"
Land Rover,Lr4,2013,Gray,Nigerian Used,81560,Automatic,"10,500,000"
Chevrolet,Traverse,2009,Red,Foreign Used,265386,Automatic,"3,150,000"
Toyota,Camry,2015,Black,Nigerian Used,103709,Automatic,"7,488,000"
Toyota,Sienna,2007,Gray,Foreign Used,198127,Automatic,"5,250,000"
Mercedes-Benz,GLK-Class,2010,Silver,Nigerian Used,362790,Automatic,"6,800,000"
Mercedes-Benz,C240,2001,Silver,Nigerian Used,2600,Automatic,"1,680,000"
Audi,A4,2005,Red,Nigerian Used,227023,Automatic,"1,470,000"
Volkswagen,Golf,1999,Silver,Foreign Used,189999,Manual,"1,522,500"
Kia,Rio,2007,1.4,Silver,Nigerian Used,Manual,"735,000"
Toyota,Camry,1997,Gray,Nigerian Used,327996,Automatic,"1,575,000"
Toyota,Camry,2002,Gray,Nigerian Used,192336,Automatic,"2,600,000"
Honda,Pilot,2007,Green,Nigerian Used,166796,Automatic,"1,942,500"
Ford,Explorer,2013,Gray,Nigerian Used,174963,Automatic,"5,250,000"
Acura,MDX,2008,Silver,Nigerian Used,429742,Automatic,"2,415,000"
Mercedes-Benz,GLE-Class,2016,"GLE400 4Matic Sport Utility 4-Door (3.0L, 6cyl Turbo)",Red,Nigerian Used,Automatic,"42,750,000"
Toyota,Highlander,2005,Red,Nigerian Used,342908,Automatic,"2,940,000"
Mitsubishi,Outlander,2010,Black,Nigerian Used,147766,Automatic,"3,150,000"
Lexus,RX 350,2007,Gold,Nigerian Used,226353,Automatic,"4,992,000"
Honda,CR-V,2011,Burgandy,Nigerian Used,122618,Automatic,"3,255,000"
Toyota,Sequoia,2008,White,Nigerian Used,164675,Automatic,"9,360,000"
Volvo,S80,2002,Red,Foreign Used,233153,Automatic,"2,520,000"
Toyota,Camry,2003,Black,Nigerian Used,170397,Automatic,"1,912,500"
Toyota,Camry,1999,Blue,Nigerian Used,445133,Automatic,"945,000"
Pontiac,G5,2007,Silver,Nigerian Used,166572,Automatic,"2,415,000"
Toyota,Corolla,2007,Blue,Nigerian Used,515763,Manual,"2,080,000"
Toyota,Corolla,2005,Red,Nigerian Used,147957,Automatic,"2,100,000"
Lexus,ES,2002,Burgandy,Foreign Used,275416,Automatic,"3,255,000"
Toyota,Matrix,2006,Red,Nigerian Used,138581,Automatic,"2,467,500"
Land Rover,Range Rover Sport,2012,Brown,Nigerian Used,75633,Automatic,"6,378,750"
Ford,Edge,2012,White,Foreign Used,221096,Automatic,"5,208,000"
Toyota,Corolla,2010,Silver,Nigerian Used,193994,Automatic,"2,625,000"
Lexus,RX,2010,Gray,Nigerian Used,125777,Automatic,"8,190,000"
Toyota,Camry,2011,Black,Nigerian Used,113131,Automatic,"3,150,000"
Mercedes-Benz,230E,2007,Silver,Nigerian Used,235496,Automatic,"2,940,000"
Honda,Accord,2009,Silver,Nigerian Used,174431,Automatic,"2,912,000"
Lexus,ES,2003,Black,Foreign Used,169582,Automatic,"4,160,000"
Infiniti,EX,2008,Black,Nigerian Used,3500,Automatic,"2,625,000"
Nissan,Sentra,2008,2.0 SL,Black,Foreign Used,Automatic,"2,625,000"
Nissan,Rogue,2016,S AWD,Gray,Nigerian Used,Automatic,"12,600,000"
Mercedes-Benz,C300,2012,Black,Nigerian Used,154368,Automatic,"5,720,000"
Lexus,RX 350,2010,Silver,Nigerian Used,120929,Automatic,"8,840,000"
Nissan,Pathfinder,2000,Blue,Nigerian Used,333406,Automatic,"1,302,000"
Honda,Pilot,2009,Gray,Nigerian Used,142009,Automatic,"3,570,000"
Toyota,Corolla,2009,Gray,Nigerian Used,148116,Automatic,"2,940,000"
Toyota,Camry,2005,Black,Nigerian Used,112374,Automatic,"1,680,000"
Hyundai,Tucson,2005,Silver,Nigerian Used,378042,Automatic,"2,100,000"
Land Rover,Range Rover,2012,Gold,Nigerian Used,57677,Automatic,"7,192,500"
Toyota,Camry,2002,SE V6 4dr Sedan (3.0L 6cyl 4A),Silver,Nigerian Used,Automatic,"2,288,000"
Toyota,Corolla,2009,Gray,Nigerian Used,221487,Automatic,"2,992,500"
Lexus,RX,2010,Gray,Nigerian Used,222338,Automatic,"8,840,000"
Mercedes-Benz,GL-Class,2008,Gold,Nigerian Used,4600,Automatic,"6,240,000"
Chevrolet,Impala,2012,LT,Black,Nigerian Used,Automatic,"1,680,000"
Mazda,MPV,2005,Gold,Nigerian Used,331192,Automatic,"1,470,000"
Ford,Explorer,2008,Teal,Nigerian Used,401448,Automatic,"2,310,000"
Lexus,RX 350,2010,Blue,Nigerian Used,123156,Automatic,"9,360,000"
Nissan,Armada,2007,Gray,Nigerian Used,114623,Automatic,"2,215,500"
Toyota,Corolla,2008,Silver,Nigerian Used,186111,Automatic,"1,995,000"
Toyota,Corolla,2004,Silver,Nigerian Used,334339,Automatic,"2,058,000"
Volkswagen,Passat,1999,Red,Foreign Used,218535,Manual,"1,470,000"
Nissan,Sentra,2008,Gray,Nigerian Used,223735,Automatic,"1,890,000"
Mercedes-Benz,CLA-Class,2015,Black,Foreign Used,262509,Automatic,"13,312,000"
Land Rover,Range Rover Sport,2008,Blue,Nigerian Used,99622,Automatic,"5,720,000"
Mitsubishi,L200,2011,White,Nigerian Used,352608,Manual,"2,047,500"
Honda,Accord,2009,Black,Nigerian Used,246143,Automatic,"2,310,000"
Lexus,RX 350,2010,Black,Nigerian Used,98988,Automatic,"13,000,000"
Toyota,Camry,2010,Hybrid,Silver,Foreign Used,Automatic,"4,410,000"
Lexus,RX 350,2009,Black,Nigerian Used,263112,Automatic,"4,935,000"
Mitsubishi,L200,2016,Double Cab 2.2 4WD,Black,Foreign Used,Automatic,"5,565,000"
Toyota,Corolla,2003,Black,Nigerian Used,224451,Automatic,"2,808,000"
Toyota,Corolla,2003,Red,Nigerian Used,357954,Automatic,"2,704,000"
Honda,CR-V,2007,2.0i Automatic,Green,Nigerian Used,Automatic,"3,432,000"
Mazda,CX-9,2009,Red,Foreign Used,287857,Automatic,"3,360,000"
Nissan,Rogue,2015,Black,Nigerian Used,104151,Automatic,"12,600,000"
Lexus,GX,2009,Silver,Nigerian Used,29864,Automatic,"5,250,000"
Mercedes-Benz,M Class,2013,Silver,Nigerian Used,55694,Automatic,"10,263,750"
Honda,Pilot,2005,Brown,Nigerian Used,192093,Automatic,"3,375,000"
Peugeot,407,2005,Black,Nigerian Used,341055,Manual,"1,050,000"
Ford,Mustang,2015,Red,Foreign Used,234424,Automatic,"13,755,000"
Peugeot,308,2013,Silver,Nigerian Used,116322,Manual,"3,150,000"
Toyota,4-Runner,2004,Black,Nigerian Used,248499,Automatic,"2,912,000"
Honda,Civic,2005,Black,Nigerian Used,17000,Automatic,"1,207,500"
Kia,Sorento,2003,Silver,Nigerian Used,292751,Automatic,"1,785,000"
Toyota,Camry,2007,LE V6 4dr Sedan (3.5L 6cyl 6AM),Gray,Nigerian Used,Automatic,"3,640,000"
Lexus,ES,2012,350,Black,Foreign Used,Automatic,"6,783,000"
Hyundai,Grandeur,2008,Silver,Nigerian Used,131534,Automatic,"2,310,000"
Ford,Edge,2011,Burgandy,Nigerian Used,234862,Automatic,"4,042,500"
Mercedes-Benz,E350,2006,Gray,Nigerian Used,337995,Automatic,"2,600,000"
Toyota,Sequoia,2008,Gray,Nigerian Used,218242,Automatic,"7,665,000"
Land Rover,Lr4,2010,Black,Nigerian Used,95332,Automatic,"3,559,500"
Mercedes-Benz,GLK-Class,2012,White,Nigerian Used,101661,Automatic,"6,720,000"
Toyota,Highlander,2012,Limited,Burgandy,Nigerian Used,Automatic,"5,880,000"
Honda,Accord,2008,Black,Nigerian Used,111144,Automatic,"2,912,000"
Volkswagen,Golf GTI,2002,Black,Nigerian Used,341814,Manual,"1,575,000"
Toyota,Sienna,2004,XLE AWD (3.3L V6 5A),Silver,Nigerian Used,Automatic,"3,045,000"
Toyota,RAV4,2006,Black,Nigerian Used,195087,Automatic,"3,150,000"
Lexus,RX 350,2008,Black,Nigerian Used,85775,Automatic,"5,720,000"
Acura,MDX,2003,Black,Nigerian Used,239031,Automatic,"1,976,000"
Lexus,GS,2009,Black,Nigerian Used,149324,Automatic,"4,680,000"
Mercedes-Benz,E350,2010,Silver,Nigerian Used,152039,Automatic,"6,032,000"
Mercedes-Benz,M Class,2007,Silver,Nigerian Used,7330,Automatic,"3,465,000"
Chevrolet,Captiva,2010,Gray,Nigerian Used,43464,Automatic,"2,730,000"
Toyota,Camry,2007,Blue,Nigerian Used,198318,Automatic,"2,940,000"
Toyota,Highlander,2004,Base AWD,Black,Nigerian Used,Automatic,"4,160,000"
Toyota,Corolla,2003,Green,Nigerian Used,239920,Automatic,"2,100,000"
Toyota,Corolla,2014,Black,Nigerian Used,118199,Manual,"4,725,000"
Mercedes-Benz,C300,2011,Gray,Nigerian Used,249034,Automatic,"3,696,000"
Honda,Accord,2009,Black,Nigerian Used,285590,Automatic,"2,808,000"
Mercedes-Benz,R-Class,2007,Black,Nigerian Used,91745,Automatic,"3,675,000"
Jeep,Liberty,2007,Blue,Nigerian Used,103060,Automatic,"1,470,000"
Toyota,Camry,2014,Blue,Nigerian Used,104686,Automatic,"6,032,000"
Toyota,Sienna,2013,LE AWD 7-Passenger,Silver,Foreign Used,Automatic,"9,048,000"
Honda,Accord,2008,Black,Nigerian Used,142917,Automatic,"3,120,000"
Mazda,CX-9,2009,Black,Foreign Used,160966,Automatic,"5,355,000"
Nissan,Sentra,2013,Gray,Foreign Used,130272,CVT,"5,775,000"
Toyota,Camry,2012,Red,Foreign Used,221627,Automatic,"6,300,000"
Toyota,Corolla,2009,Red,Nigerian Used,193348,Automatic,"2,835,000"
Jeep,Wrangler,2008,White,Nigerian Used,79511,Automatic,"7,350,000"
Toyota,Camry,2002,Red,Nigerian Used,262172,Automatic,"1,872,000"
Lexus,GX,2020,Black,Foreign Used,22435,Automatic,"43,365,000"
Toyota,Camry,2007,Blue,Nigerian Used,308529,Automatic,"3,328,000"
Dodge,Magnum,2008,Silver,Foreign Used,193241,Automatic,"2,625,000"
Nissan,Versa,2011,Gray,Nigerian Used,125396,Automatic,"3,465,000"
Toyota,Corolla,2008,Silver,Nigerian Used,123252,Manual,"2,625,000"
Mercedes-Benz,C300,2008,Gray,Foreign Used,197693,Automatic,"4,200,000"
Honda,Accord,2012,Purple,Foreign Used,178028,Automatic,"5,408,000"
Toyota,Camry,2012,Red,Foreign Used,292418,Automatic,"7,500,000"
Toyota,Camry,2010,Gray,Nigerian Used,132040,Automatic,"3,360,000"
Toyota,Land Cruiser Prado,2011,Black,Nigerian Used,55246,Automatic,"15,912,000"
Toyota,Sienna,2003,CE,Blue,Nigerian Used,Automatic,"2,496,000"
Toyota,Corolla,2006,Blue,Nigerian Used,343323,Automatic,"2,360,662"
Lexus,RX 330,2004,Black,Nigerian Used,301904,Automatic,"4,368,000"
Honda,Accord,2008,Black,Nigerian Used,264589,Automatic,"1,890,000"
Infiniti,G35,2003,Black,Nigerian Used,181219,Automatic,"1,260,000"
Peugeot,206,2004,Silver,Nigerian Used,256899,Manual,"1,300,000"
Honda,Accord,2006,Silver,Nigerian Used,238711,Automatic,"1,768,000"
Toyota,Camry,2005,Black,Nigerian Used,408856,Automatic,"1,785,000"
Volkswagen,Polo,2015,Red,Foreign Used,41590,Automatic,"4,200,000"
Honda,Civic,2007,Blue,Nigerian Used,155338,Automatic,"1,470,000"
Nissan,Xterra,2004,Gold,Nigerian Used,267839,Automatic,"8,840,000"
Lexus,IS,2010,250,Red,Nigerian Used,Automatic,"4,992,000"
Ford,F-150,2010,Red,Foreign Used,320625,Automatic,"8,505,000"
BMW,325i,2008,Gray,Nigerian Used,337792,Automatic,"1,785,000"
Mercedes-Benz,C280,2011,Gray,Nigerian Used,104758,Automatic,"3,885,000"
Hyundai,Sonata,2013,Gray,Nigerian Used,65342,Automatic,"3,675,000"
Kia,Rio,2020,Blue,Nigerian Used,33414,Automatic,"7,312,500"
Toyota,Camry,2002,Green,Nigerian Used,150526,Automatic,"2,392,000"
Lexus,RX 350,2009,Brown,Nigerian Used,112843,Automatic,"3,990,000"
Toyota,Venza,2012,Gray,Foreign Used,153098,Automatic,"11,440,000"
Toyota,RAV4,2019,Silver,Foreign Used,1409,Automatic,"26,000,000"
Honda,Accord,2016,Silver,Foreign Used,160932,Automatic,"12,272,000"
Toyota,RAV4,2006,Blue,Nigerian Used,89799,Automatic,"2,875,950"
Toyota,Highlander,2009,Red,Nigerian Used,193133,Automatic,"5,775,000"
Mercedes-Benz,C350,2008,Black,Nigerian Used,114382,Automatic,"4,576,000"
Lexus,RX 350,2013,Silver,Foreign Used,64629,Automatic,"14,040,000"
Honda,Pilot,2004,EX 4x4 (3.5L 6cyl 5A),Gray,Nigerian Used,Automatic,"1,365,000"
Mercedes-Benz,B-Class,2007,Gold,Nigerian Used,260181,Automatic,"3,045,000"
Jaguar,XJ,2011,Black,Nigerian Used,96920,Automatic,"16,275,000"
Chevrolet,Malibu,2013,White,Nigerian Used,104602,Automatic,"5,040,000"
Peugeot,406,2001,Gray,Nigerian Used,999999,Manual,"2,100,000"
Acura,MDX,2008,Purple,Foreign Used,355228,Automatic,"5,512,000"
Hyundai,Tiburon,1997,FX,Red,Nigerian Used,Automatic,"871,500"
Mercedes-Benz,R-Class,2011,Gray,Nigerian Used,167087,Automatic,"7,350,000"
Toyota,Sienna,2012,SE 8 Passenger,Black,Foreign Used,Automatic,"7,455,000"
Mercedes-Benz,C250,2012,Red,Foreign Used,88209,Automatic,"6,247,500"
Kia,Forte,2010,Silver,Nigerian Used,282013,Automatic,"2,625,000"
Mercedes-Benz,Sprinter,2007,Yellow,Nigerian Used,431995,Manual,"5,775,000"
Chevrolet,Malibu,2009,Gray,Foreign Used,74026754,Automatic,"4,200,000"
Lexus,GS,2007,Silver,Nigerian Used,280385,Automatic,"3,744,000"
Toyota,Camry,2005,Blue,Nigerian Used,268859,Automatic,"1,470,000"
Land Rover,Range Rover Sport,2014,Black,Nigerian Used,118510,Automatic,"15,750,000"
Toyota,Camry,2009,LE 4dr Sedan (2.4L 4cyl 5A),Gray,Nigerian Used,Automatic,"3,360,000"
Toyota,Corolla,2007,Gold,Nigerian Used,341513,Automatic,"2,362,500"
Lexus,GS,2006,Silver,Foreign Used,277683,Automatic,"4,725,000"
Mitsubishi,Outlander,2010,Black,Nigerian Used,185819,Automatic,"2,310,000"
Toyota,Sienna,2000,Green,Nigerian Used,213109,Automatic,"1,575,000"
Toyota,Avalon,2007,Gold,Nigerian Used,281346,Automatic,"2,415,000"
Toyota,Corolla,2005,Black,Foreign Used,260995,Automatic,"3,832,500"
Honda,Accord,2009,Black,Nigerian Used,243885,Automatic,"2,184,000"
Toyota,Camry,2007,Gold,Nigerian Used,96579,Automatic,"4,160,000"
Toyota,Sienna,2008,Black,Nigerian Used,256342,Automatic,"2,856,000"
Lexus,RX 350,2014,Black,Foreign Used,103204,Automatic,"9,975,000"
Ford,Taurus,2012,Silver,Foreign Used,184683,Automatic,"5,250,000"
Toyota,Highlander,2003,Blue,Nigerian Used,239751,Automatic,"3,640,000"
Toyota,Camry,2011,XLE V6 4dr Sedan (3.5L 6cyl 6A),Green,Nigerian Used,Automatic,"3,675,000"
Mercedes-Benz,C220,1994,Blue,Nigerian Used,396580,Automatic,"1,260,000"
Toyota,Matrix,2003,Blue,Nigerian Used,135197,Automatic,"2,100,000"
Lexus,IS,2006,Silver,Foreign Used,267308,Automatic,"3,150,000"
Honda,Odyssey,2009,Blue,Nigerian Used,123523,Automatic,"1,995,000"
Lexus,RX,2013,Black,Nigerian Used,216467,Automatic,"11,232,000"
Mercedes-Benz,GL-Class,2008,Black,Nigerian Used,176187,Automatic,"5,200,000"
Honda,Accord,2013,Silver,Nigerian Used,345800,Automatic,"4,908,750"
Ford,Edge,2010,Silver,Nigerian Used,254063,Automatic,"3,224,000"
Toyota,Highlander,2014,Gray,Nigerian Used,94397,Automatic,"13,832,000"
Hyundai,Elantra,2009,1.6 GLS,Blue,Nigerian Used,Automatic,"1,680,000"
Toyota,Sienna,2007,Gray,Nigerian Used,158989,Automatic,"3,350,000"
Ford,Escape,2010,White,Nigerian Used,123523,Automatic,"1,575,000"
Lexus,LX,2000,470 AWD,Blue,Nigerian Used,Automatic,"2,310,000"
Infiniti,G35,2007,Black,Nigerian Used,185694,Automatic,"2,415,000"
Toyota,Sienna,2006,Blue,Nigerian Used,357310,Automatic,"2,625,000"
Toyota,Camry,2007,Blue,Nigerian Used,147522,Automatic,"2,835,000"
Ford,Explorer,2006,Black,Nigerian Used,90868,Automatic,"3,328,000"
Honda,Accord,2005,Gold,Nigerian Used,313658,Automatic,"1,417,500"
Hyundai,Sonata,2015,White,Foreign Used,156265,Automatic,"7,560,000"
Honda,Accord,2005,Black,Nigerian Used,182828,Automatic,"997,500"
Toyota,Corolla,2010,Silver,Nigerian Used,238739,Automatic,"3,150,000"
Ford,Ecosport,2014,Black,Nigerian Used,102151,Automatic,"4,725,000"
Ford,Edge,2011,Red,Nigerian Used,281117,Automatic,"5,400,000"
Honda,Accord,2012,White,Nigerian Used,132346,Automatic,"4,160,000"
Toyota,RAV4,2005,Black,Nigerian Used,376413,Automatic,"1,417,500"
Land Rover,Range Rover,2013,Silver,Foreign Used,137270,Automatic,"32,240,000"
Nissan,Frontier,2006,White,Nigerian Used,163262,Automatic,"4,830,000"
Toyota,Sienna,2006,CE FWD,Green,Nigerian Used,Automatic,"2,625,000"
Lexus,RX 350,2007,Silver,Nigerian Used,264705,Automatic,"3,780,000"
Kia,Borrego,2009,EX V8 4x4,Blue,Foreign Used,Automatic,"6,300,000"
Mercedes-Benz,C240,2005,Gray,Foreign Used,299261,Automatic,"2,912,000"
Toyota,RAV4,2011,Gray,Nigerian Used,124331,Automatic,"5,304,000"
Infiniti,FX35,2006,Base 4x4 (3.5L 6cyl 5A),Black,Foreign Used,Automatic,"4,200,000"
Acura,RDX,2007,Black,Nigerian Used,213525,Automatic,"3,885,000"
Nissan,Quest,2001,Gray,Nigerian Used,216569,Automatic,"1,260,000"
Mercedes-Benz,M Class,2013,ML 350 4Matic,Black,Foreign Used,Automatic,"16,640,000"
Mazda,CX-9,2012,Black,Foreign Used,164274,Automatic,"6,405,000"
Toyota,RAV4,2006,Gold,Nigerian Used,115592,Automatic,"4,680,000"
Mercedes-Benz,C180,2001,Blue,Nigerian Used,135470,Automatic,"2,835,000"
Mercedes-Benz,GLK-Class,2015,Brown,Nigerian Used,64585,Automatic,"9,660,000"
Land Rover,Lr3,2006,SE,Black,Nigerian Used,Automatic,"3,848,000"
Acura,MDX,2005,Black,Nigerian Used,336665,Automatic,"1,470,000"
Land Rover,Range Rover,2014,Blue,Nigerian Used,66800,Automatic,"18,900,000"
Lexus,ES,2010,Blue,Foreign Used,90580,Automatic,"7,192,500"
Mercedes-Benz,M Class,2003,ML 320,Black,Nigerian Used,Automatic,"1,365,000"
Volkswagen,Passat,2014,Black,Nigerian Used,58967,Automatic,"3,629,600"
Rover,Land,2012,Black,Nigerian Used,73694,Automatic,"6,300,000"
Toyota,Camry,1996,Gold,Nigerian Used,387191,Automatic,"892,500"
Mercedes-Benz,E350,2007,Gray,Nigerian Used,240287,Automatic,"5,200,000"
Mercedes-Benz,B-Class,2002,Black,Foreign Used,128449,Automatic,"4,305,000"
Lexus,RX 350,2008,Gray,Nigerian Used,145057,Automatic,"4,200,000"
BMW,550i,2012,Gray,Foreign Used,97660,Automatic,"4,725,000"
Toyota,Camry,2007,Gold,Nigerian Used,246304,Automatic,"3,150,000"
Toyota,RAV4,2013,Gray,Foreign Used,144457,Automatic,"20,250,000"
Mercedes-Benz,C240,2005,Black,Nigerian Used,25505,Automatic,"1,651,125"
Lexus,GX,2010,460,Black,Foreign Used,Automatic,"24,024,000"
Nissan,Pathfinder,2001,Gray,Nigerian Used,263571,Automatic,"1,560,000"
Audi,A4,2014,Black,Foreign Used,152781,Automatic,"13,650,000"
