Make,Model,Year,Color,Condition,Mileage,Transmission,Price
Toyota,Sienna,2010,CE 7 Passenger,Burgandy,Nigerian Used,Automatic,"3,937,500"
Toyota,Corolla,2009,S 4dr Sedan (1.8L 4cyl 4A),Black,Nigerian Used,Automatic,"3,657,656"
Toyota,Sienna,2003,Green,Nigerian Used,493130,Automatic,"3,150,000"
Volkswagen,Golf,1993,Green,Nigerian Used,50760,Manual,"1,012,500"
Hyundai,Santa Fe,2009,White,Nigerian Used,221114,Automatic,"3,937,500"
Toyota,RAV4,2016,Gray,Nigerian Used,60385,Automatic,"14,062,500"
Toyota,Sienna,2004,Gold,Nigerian Used,203568,Automatic,"2,520,000"
Honda,Accord,2009,Silver,Nigerian Used,151208,Automatic,"3,150,000"
Lexus,RX 330,2006,Blue,Nigerian Used,80099,Automatic,"4,500,000"
Toyota,Matrix,2004,Red,Nigerian Used,362630,Automatic,"1,890,000"
Toyota,Camry,2008,2.4 CE Automatic,Gray,Nigerian Used,Automatic,"3,375,000"
Lexus,ES,2008,350,Gray,Foreign Used,Automatic,"5,836,500"
Lexus,RX 350,2013,Gray,Foreign Used,204720,Automatic,"22,500,000"
Toyota,Highlander,2015,Teal,Nigerian Used,130078,Automatic,"16,640,000"
BMW,X3,2007,Gray,Nigerian Used,446797,Automatic,"3,375,000"
Toyota,Camry,2001,Gray,Nigerian Used,253868,Automatic,"1,575,000"
Toyota,Avalon,2014,XLE Premium 4dr Sedan (3.5L 6cyl 6A),Black,Nigerian Used,Automatic,"8,775,000"
Toyota,Corolla,2010,Silver,Foreign Used,263437,Automatic,"6,750,000"
Toyota,Avalon,2013,Black,Nigerian Used,124233,Automatic,"7,350,000"
Toyota,Camry,2001,Gray,Nigerian Used,155469,Automatic,"1,976,000"
Land Rover,Range Rover,2008,White,Nigerian Used,144381,Automatic,"4,162,500"
Toyota,Highlander,2003,Black,Nigerian Used,397220,Automatic,"2,520,000"
BMW,328i,2008,Black,Foreign Used,162543,Automatic,"4,612,500"
Hyundai,Elantra,2010,Black,Nigerian Used,206737,Automatic,"2,025,000"
Peugeot,207,2007,Silver,Foreign Used,199331,Manual,"2,250,000"
Honda,Pilot,2008,Gray,Foreign Used,278538,Automatic,"4,500,000"
Toyota,Camry,2007,Gray,Nigerian Used,221662,Automatic,"3,600,000"
Lexus,ES,2013,350 FWD,Blue,Foreign Used,Automatic,"13,500,000"
Honda,Pilot,2003,Gray,Nigerian Used,305294,Automatic,"2,250,000"
Lexus,RX,2000,Blue,Nigerian Used,99999,Automatic,"1,912,500"
Toyota,Corolla,2011,Gray,Nigerian Used,164024,Automatic,"3,510,000"
Toyota,Sequoia,2018,Black,Foreign Used,127390,Automatic,"47,250,000"
Toyota,Corolla,2007,Green,Nigerian Used,139680,Automatic,"2,912,000"
Toyota,Camry,2012,Gray,Foreign Used,87937,Automatic,"8,550,000"
Toyota,Corolla,2006,Silver,Nigerian Used,123523,Automatic,"1,968,750"
Chevrolet,Aveo,2008,Black,Nigerian Used,133313,Automatic,"1,575,000"
GMC,Acadia,2010,White,Nigerian Used,3600,Automatic,"2,250,000"
Toyota,Corolla,2009,Silver,Nigerian Used,153418,Automatic,"3,442,500"
Honda,Pilot,2005,Black,Nigerian Used,191278,Automatic,"1,755,000"
Honda,Civic,2007,Gray,Nigerian Used,199805,Automatic,"1,785,000"
Toyota,Matrix,2005,Blue,Nigerian Used,175323,Automatic,"2,812,500"
Honda,CR-V,2010,EX 4dr SUV (2.4L 4cyl 5A),Gray,Nigerian Used,Automatic,"2,756,250"
Toyota,Camry,2013,Gray,Nigerian Used,119344,Automatic,"5,928,000"
Acura,MDX,2005,White,Nigerian Used,111213,AMT,"2,475,000"
Ford,Explorer,2014,4dr SUV (3.5L 6cyl 6A),Black,Nigerian Used,Automatic,"5,850,000"
Toyota,HiAce,1995,White,Nigerian Used,191542,Manual,"5,400,000"
Toyota,Camry,2008,Gold,Nigerian Used,137805,Automatic,"4,500,000"
Hyundai,Ix35,2011,Blue,Nigerian Used,202437,Automatic,"4,500,000"
Toyota,Corolla,2008,Black,Nigerian Used,142745,Automatic,"2,970,000"
Honda,Accord,2009,Black,Nigerian Used,166866,Manual,"1,575,000"
Ford,Explorer,2013,White,Nigerian Used,195551,Automatic,"4,950,000"
Honda,Accord,2008,Green,Nigerian Used,214212,Automatic,"3,937,500"
Toyota,Camry,2005,Silver,Brand New,345950,Automatic,"3,825,000"
Hyundai,Elantra,2012,Blue,Nigerian Used,153176,Automatic,"3,937,500"
Mercedes-Benz,CLA-Class,2015,Red,Foreign Used,50396,Automatic,"18,000,000"
Honda,Pilot,2003,Gray,Nigerian Used,254557,Automatic,"1,829,625"
Toyota,Highlander,2014,Gray,Foreign Used,163537,Automatic,"14,850,000"
Pontiac,Vibe,2008,Silver,Nigerian Used,382062,Automatic,"2,925,000"
Honda,Crosstour,2011,Silver,Foreign Used,231163,Automatic,"4,837,500"
Toyota,Camry,2011,Gray,Nigerian Used,282622,Automatic,"3,885,000"
Honda,Civic,2006,Gray,Nigerian Used,133373,Automatic,"3,037,500"
Toyota,Camry,2007,Red,Nigerian Used,209254,Automatic,"2,812,500"
Toyota,Matrix,2005,Gray,Nigerian Used,482800,Automatic,"2,295,000"
Honda,CR-V,2013,Silver,Foreign Used,41867,Automatic,"11,250,000"
Nissan,Sentra,2013,Silver,Foreign Used,122831,Automatic,"5,838,750"
Toyota,Camry,2011,LE 4dr Sedan (2.5L 4cyl 6A),Gray,Nigerian Used,Automatic,"4,500,000"
Toyota,Corolla,2006,Gray,Nigerian Used,244211,Automatic,"2,912,000"
Subaru,Outback,2001,H6 3.0,Red,Nigerian Used,Manual,"682,500"
Mercedes-Benz,E350,2012,Gray,Nigerian Used,67639,Automatic,"5,602,500"
Acura,MDX,2007,Silver,Nigerian Used,3700,Automatic,"2,868,750"
Hyundai,Santa Fe,2007,Silver,Nigerian Used,303204,Automatic,"3,037,500"
Lexus,RX,2003,Gray,Nigerian Used,149565,Automatic,"3,937,500"
Honda,CR-V,2007,EX 4WD Automatic,Blue,Nigerian Used,Automatic,"2,475,000"
Toyota,Camry,2010,Gray,Nigerian Used,279193,Automatic,"4,837,500"
Toyota,Sienna,2005,Green,Nigerian Used,340277,Automatic,"2,812,500"
BMW,318i,1999,Silver,Foreign Used,328542,Automatic,"1,912,500"
Toyota,Avensis,2003,Green,Foreign Used,300806,Manual,"3,375,000"
Nissan,Micra,2006,Silver,Foreign Used,127445,Manual,"1,575,000"
Toyota,RAV4,2004,Silver,Nigerian Used,106395,Automatic,"2,250,000"
Toyota,Camry,2003,LE 4dr Sedan (2.4L 4cyl 5M),Black,Nigerian Used,Automatic,"2,925,000"
Toyota,Camry,2004,Black,Nigerian Used,564398,Automatic,"2,250,000"
Honda,Accord,2004,Automatic,Silver,Nigerian Used,Automatic,"1,155,000"
Toyota,RAV4,2007,Black,Nigerian Used,168180,Automatic,"3,150,000"
Honda,Accord,2014,Sport 4dr Sedan (2.4L 4cyl 6M),Black,Nigerian Used,Automatic,"6,187,500"
Toyota,Sienna,2006,Green,Nigerian Used,210625,Automatic,"2,730,000"
Toyota,Corolla,2012,Black,Nigerian Used,195182,Automatic,"4,500,000"
Pontiac,G6,2006,Green,Nigerian Used,229216,Automatic,"2,812,500"
Honda,Civic,2008,Black,Nigerian Used,222726,Automatic,"1,687,500"
Toyota,Camry,2012,Black,Nigerian Used,171946,Automatic,"6,187,500"
Hyundai,I10,2015,Gray,Nigerian Used,197285,Manual,"1,687,500"
Mercedes-Benz,A-Class,2003,Black,Nigerian Used,217036,Automatic,"2,940,000"
Toyota,Camry,2003,Blue,Nigerian Used,627949,Automatic,"2,250,000"
Acura,MDX,2007,White,Nigerian Used,181009,Automatic,"6,187,500"
Toyota,Tacoma,2016,Gray,Foreign Used,51770,Automatic,"17,775,000"
Kia,Rio,2012,Black,Nigerian Used,59048,Automatic,"3,937,500"
Honda,Accord,2001,Black,Nigerian Used,233803,Automatic,"708,750"
Toyota,Highlander,2004,Blue,Nigerian Used,111982,Automatic,"3,375,000"
Volkswagen,Golf,1998,Gray,Nigerian Used,179834,Automatic,"1,687,500"
Mazda,CX-9,2008,Sport AWD,Black,Nigerian Used,Automatic,"4,500,000"
Toyota,4-Runner,2000,Silver,Nigerian Used,414804,Automatic,"1,440,000"
Toyota,Avalon,2007,Black,Foreign Used,165738,Automatic,"3,962,812"
Lexus,RX 350,2008,Silver,Nigerian Used,174277,Automatic,"6,750,000"
Mercedes-Benz,GL-Class,2013,Silver,Nigerian Used,205083,Automatic,"11,130,000"
Toyota,Camry,2007,Gray,Nigerian Used,129910,Automatic,"3,375,000"
Toyota,Camry,2012,Silver,Nigerian Used,99619,Automatic,"7,312,500"
Nissan,Pathfinder,2011,Black,Nigerian Used,198523,Automatic,"2,250,000"
Honda,Accord,2008,Gray,Nigerian Used,168815,Automatic,"3,150,000"
Toyota,Camry,2007,Gold,Nigerian Used,166691,Automatic,"2,250,000"
Chevrolet,Aveo,2008,Black,Nigerian Used,188942,Automatic,"1,207,500"
Toyota,Land Cruiser Prado,2010,Black,Nigerian Used,128954,Automatic,"10,125,000"
Nissan,Sentra,2013,Silver,Foreign Used,149272,Automatic,"5,259,375"
Toyota,Corolla,2005,Gold,Nigerian Used,126455,Automatic,"3,937,500"
Toyota,Camry,2012,Red,Nigerian Used,166997,Automatic,"5,259,375"
Audi,A4,2014,Blue,Nigerian Used,132500,Automatic,"5,062,500"
Toyota,Sienna,2001,White,Nigerian Used,313130,Automatic,"1,912,500"
Hyundai,Elantra,2008,Blue,Nigerian Used,136588,Automatic,"2,137,500"
Lexus,ES,2007,350,Gray,Nigerian Used,Automatic,"4,837,500"
Mercedes-Benz,C350,2008,Black,Nigerian Used,112950,Automatic,"3,937,500"
Opel,Zafira,2013,White,Foreign Used,342095,Manual,"4,612,500"
Honda,Pilot,2005,Red,Nigerian Used,407904,Automatic,"2,812,500"
Mercedes-Benz,M Class,2010,Silver,Nigerian Used,151715,Automatic,"5,775,000"
Toyota,Corolla,2008,Gold,Nigerian Used,146901,Automatic,"2,250,000"
